,target_speed,speed_error,angle
1845,3.4452510573655015,-0.3437791670116437,-0.0017389703524609992
1846,3.4453903713529406,-0.25334298128585386,-0.003256132625035455
1847,3.44546156822894,-0.09991255019935164,-0.004020600085272098
1848,3.4454491483832204,0.07920207655500544,-0.004087947627441828
1849,3.4453656992824158,0.26596811601335624,-0.003416428697605201
1850,3.4453354170216195,0.4085786602064032,-0.002881055418726104
1851,3.4454146500248717,0.3961260486958875,-0.0037162235075274305
1852,3.445429489319808,0.2646376013572458,-0.004050711082291941
1853,3.4454491806196272,0.07999016798585634,-0.004032168881102612
1854,3.4453529097260804,-0.12923652932301222,-0.0032314023177157664
1855,3.4452233055066097,-0.29139115566189533,-0.0029667657240836404
1856,3.4451828225610894,-0.2927442178650064,-0.0023522642813315134
1857,3.4451778752155318,-0.17235994628554385,-0.0024144454935036046
1858,3.445187501800541,-0.007430967006575084,-0.0026864604570907935
1859,3.44507024062769,0.17427389514717184,-0.001405853868420256
1860,3.4450762090341827,0.3596817449207763,-0.0013941803567384407
1861,3.445048001069007,0.4972298438215228,-0.0013207869003994013
1862,3.4452016556977965,0.4648127868488059,-0.002380570994511254
1863,3.44515133775914,0.3229223769264449,-0.0022373803218926364
1864,3.444956802159204,0.1332167854700912,-0.0008365718807455493
1865,3.4448080611335206,-0.07968373823283681,0.0005856626337967921
1866,3.4447611766951987,-0.27927510230051444,0.001011778350626024
1867,3.444619636872237,-0.38140401664755386,0.0019849186534815454
1868,3.444706431705499,-0.31390404905096414,0.0018456859731721517
1869,3.4448146085569165,-0.17029350945905897,0.0011278097632517197
1870,3.444671199795132,0.004726796607033457,0.002127206831783584
1871,3.4447138255872485,0.19135142099595814,0.002048869957282619
1872,3.4445491296374326,0.373194095287793,0.0031427277757626213
1873,3.44460157903428,0.5003515283769331,0.0031089657590414044
1874,3.444601846746666,0.45878926872503856,0.003159537082379488
1875,3.4446481693776456,0.31211411410298195,0.002860598995478532
1876,3.444758937146665,0.1197652612943716,0.0021456919300282505
1877,3.4450174261422237,-0.09330482939858298,0.0004769531551648678
1878,3.4450581361991666,-0.281915997097415,0.000137024653342687
1879,3.445114723064267,-0.3546303232786392,-0.00032864434021277213
1880,3.445059830577315,-0.270781296195854,2.3613081772261413e-05
1881,3.445067757716289,-0.120279083085995,3.9794383135943584e-05
1882,3.445193590844058,0.05774188858307072,-0.00108904925648616
1883,3.4452108320156714,0.24441071099305178,-0.0014778952003524132
1884,3.445233802571988,0.3912598184271334,-0.0018055814657292077
1885,3.445335634759554,0.40776654187248385,-0.002933864550350307
1886,3.4453061149210815,0.2914402085900405,-0.0027911306020576665
1887,3.4452334967943696,0.11391098250750664,-0.0022002486868458056
1888,3.4452742063915447,-0.09198610284750108,-0.002625971592538275
1889,3.4451235059227954,-0.2723867253103829,-0.00117608038344694
1890,3.445077347580018,-0.32966657901169993,-0.0006367462420190399
1891,3.445143472093214,-0.23778471653643063,-0.0010804342852626116
1892,3.4450467780475496,-0.08475563506996275,-0.000413576076863928
1893,3.4448829585647895,0.09356312668975697,0.0006786229566159586
1894,3.4447999872733654,0.27913538828387097,0.001517351405959353
1895,3.4448062497560623,0.41946218286488257,0.0016016421656324528
1896,3.444857923966434,0.3944777874458394,0.0013185888521896304
1897,3.4449048722000426,0.2566668989181671,0.0010469553660292623
1898,3.4448946936026967,0.06902706361141586,0.0011027383688865717
1899,3.4449199662781926,-0.14137104188227756,0.0009898414178555516
1900,3.4448396840022832,-0.30027999332263633,0.001550432239227323
1901,3.4449410149097908,-0.28784009459810944,0.0009703049753148478
1902,3.4451695049002953,-0.16043994392418126,-0.000763580689508934
1903,3.445208024086371,0.007365768827425345,-0.0013885488439703295
1904,3.4454324623949066,0.1903634367080027,-0.0037006686551463823
1905,3.445481890916059,0.3694160497988097,-0.004707842168466533
1906,3.445368501637281,0.4898113893771123,-0.0036631687855379347
1907,3.4453535033352867,0.44339915770068083,-0.003527535499836136
1908,3.445263733349917,0.29496853095317954,-0.002818164630666909
1909,3.445217708346418,0.10195912143834018,-0.0021457309128890315
1910,3.4450684356644334,-0.11178666232662327,-0.0008368712393634732
1911,3.4451014694104067,-0.2872878419778071,-0.0009507499447185025
1912,3.4450184446230603,-0.324840126460356,-0.00027987755796642474
1913,3.4449470143922896,-0.22278952935321117,0.00020035712583492776
1914,3.4450299618631703,-0.06575286875192488,-0.0002910231493082452
1915,3.445002881275185,0.11345086728150378,-6.923314336606584e-05
1916,3.445099810751135,0.2985414156945847,-0.0007232279403353354
1917,3.4451465865046305,0.4374691104252877,-0.0013327261800493992
1918,3.4450825363768867,0.4068191805810879,-0.0006637188108586826
1919,3.4451467520855013,0.2663027213347804,-0.0012565488555559012
1920,3.4449861125489956,0.07726579680445766,-0.0001815559290302967
1921,3.4450549726038697,-0.13317736624947374,-0.00032989209492901005
1922,3.445100772696969,-0.2948563320544806,-0.0007564189359483636
1923,3.445044369304294,-0.29331441207085174,-0.00047760964259320823
1924,3.4449500496677063,-0.17198297322093614,0.00030233014355217494
1925,3.444817498703611,-0.007580113211869133,0.0012330421841678769
1926,3.4449523802629867,0.17337870237223418,0.0005325275880098019
1927,3.444911503537837,0.35775851460515895,0.0007675963370373558
1928,3.4449202385550945,0.49410805117427525,0.0007670595341647457
1929,3.4448412907202535,0.4603771894921489,0.001283231984234678
